hepatitis B,,,,,,,,,,,,,
 Brooks-Gelman-Rubin (BGR) ratio,,mean,sd,MC_error,val2.5pc,val5.0pc,val10.0pc,val25.0pc,median,val75.0pc,val90.0pc,val95.0pc,val97.5pc
1.005,s[16],-0.1584,0.2698,0.00763,-0.7257,-0.6239,-0.5145,-0.335,-0.1396,0.02,0.1668,0.2601,0.3459
1.002,s[17],-0.4793,0.3709,0.01249,-1.123,-1.058,-0.9774,-0.7841,-0.48,-0.1711,0.007555,0.08237,0.1582
1.002,s[18],0.07762,0.1779,0.003249,-0.285,-0.2192,-0.1449,-0.03197,0.07799,0.1951,0.2972,0.3634,0.425
1.008,s[19],0.281,0.2295,0.006822,-0.1278,-0.06747,-0.009013,0.1024,0.2776,0.4493,0.5866,0.658,0.7129
1,s[20],-0.08339,0.226,0.005942,-0.5085,-0.4477,-0.3734,-0.2475,-0.07786,0.06847,0.206,0.2896,0.3615
1.001,s[21],0.373,0.2288,0.006256,-0.0494,-0.005591,0.0495,0.2044,0.3864,0.5492,0.6579,0.7199,0.7771
1.002,s[22],0.1916,0.1851,0.004057,-0.1529,-0.09259,-0.03146,0.06089,0.1854,0.3141,0.4294,0.5037,0.5693
1.001,s[23],-0.2676,0.2633,0.006589,-0.7561,-0.6887,-0.6149,-0.4609,-0.2697,-0.06451,0.06459,0.1474,0.2203
1.001,s[24],0.006571,0.19,0.003768,-0.3727,-0.3072,-0.2296,-0.1125,0.003738,0.1251,0.2461,0.3226,0.3909
0.9978,s[25],0.6239,0.3325,0.009836,-0.0155,0.02299,0.136,0.3795,0.6619,0.8871,1.028,1.106,1.169
0.9993,s[26],0.2574,0.2223,0.00536,-0.1674,-0.09847,-0.02388,0.09376,0.2626,0.4166,0.5355,0.6091,0.6776
1.004,s[27],0.4484,0.2406,0.006522,-0.01473,0.01676,0.1049,0.2837,0.4656,0.6223,0.7464,0.8182,0.8814
1.004,s[28],0.471,0.2964,0.007181,-0.0945,-0.013,0.07591,0.2796,0.4729,0.6607,0.8421,0.9593,1.065
1.001,s[29],0.08968,0.1786,0.002287,-0.2655,-0.1985,-0.127,-0.01886,0.08398,0.2012,0.3143,0.3886,0.4583
0.9988,s[30],-0.0134,0.4561,0.0194,-0.9706,-0.788,-0.5915,-0.2733,0.003836,0.2605,0.5346,0.7228,0.9004
1.006,s[31],-0.08827,0.1973,0.004892,-0.4987,-0.4281,-0.3506,-0.2141,-0.07191,0.03852,0.1483,0.2185,0.2829
,,,,,,,,,,,,,
hepatitis B,,,,,,,,,,,,,
 Brooks-Gelman-Rubin (BGR) ratio,,mean,sd,MC_error,val2.5pc,val5.0pc,val10.0pc,val25.0pc,median,val75.0pc,val90.0pc,val95.0pc,val97.5pc
1.01,a[1],0.636,0.04355,0.00202,0.5576,0.5689,0.5819,0.6053,0.6336,0.664,0.6934,0.7114,0.7281
1.011,a[2],0.7572,0.03631,0.001576,0.6909,0.7002,0.7117,0.7319,0.7556,0.7806,0.8045,0.8195,0.8327
1.009,a[3],0.8809,0.03808,0.001296,0.8098,0.8205,0.8328,0.8546,0.8801,0.906,0.9301,0.9452,0.9586
1.012,a[4],0.9771,0.02333,5.76E-04,0.9328,0.9398,0.9476,0.9612,0.9766,0.9925,1.007,1.016,1.024
1.001,a[5],1.074,0.02262,2.53E-04,1.03,1.037,1.045,1.059,1.074,1.089,1.103,1.112,1.12
1.02,a[6],1.17,0.03075,9.12E-04,1.11,1.12,1.131,1.149,1.17,1.191,1.209,1.221,1.231
1.014,a[7],1.204,0.04317,0.001715,1.12,1.134,1.15,1.175,1.204,1.233,1.26,1.276,1.29
1.012,a[8],1.238,0.05912,0.002568,1.124,1.141,1.162,1.198,1.237,1.277,1.314,1.336,1.356
1.006,a[9],1.299,0.08063,0.003668,1.144,1.169,1.196,1.244,1.298,1.353,1.405,1.433,1.459
1.003,b1[1],-0.09887,0.01761,4.00E-04,-0.133,-0.1276,-0.1213,-0.1107,-0.09912,-0.08698,-0.0762,-0.06966,-0.06402
1.002,b1[2],-0.05344,0.01675,2.77E-04,-0.0863,-0.08093,-0.07467,-0.06466,-0.05342,-0.04212,-0.03217,-0.02598,-0.02044
1.003,b1[3],-0.02348,0.01731,3.96E-04,-0.05755,-0.052,-0.04563,-0.0351,-0.02356,-0.01184,-0.0013,0.005127,0.01043
1.007,b1[4],-0.131,0.01717,3.31E-04,-0.1646,-0.1591,-0.1529,-0.1427,-0.1311,-0.1195,-0.109,-0.1026,-0.09719
1.002,b1[5],-0.02481,0.01786,4.45E-04,-0.05955,-0.054,-0.04763,-0.0369,-0.0248,-0.01281,-0.002034,0.004567,0.01039
1.039,b1[6],0.03006,0.02038,6.54E-04,-0.009648,-0.003327,0.00407,0.01638,0.02984,0.04356,0.05628,0.06397,0.07052
1.001,b1[7],0.02184,0.01803,3.82E-04,-0.01371,-0.007638,-0.001157,0.009787,0.02189,0.03391,0.04481,0.05157,0.05714
1.006,b1[8],-0.006757,0.02082,6.19E-04,-0.04799,-0.04123,-0.0336,-0.02062,-0.006643,0.007319,0.01964,0.02719,0.0339
1.006,b1[9],0.03088,0.01622,2.62E-04,-0.00116,0.00427,0.01014,0.02018,0.03087,0.04161,0.05157,0.05764,0.06266
1.008,b1[10],-0.02068,0.0166,3.22E-04,-0.05313,-0.04798,-0.04193,-0.0318,-0.02075,-0.009694,4.92E-04,0.006682,0.01211
1.009,b1[11],0.06486,0.01714,3.24E-04,0.03134,0.03694,0.04314,0.05335,0.06478,0.07629,0.08691,0.09314,0.09857
1.005,b1[12],-0.07158,0.01816,4.02E-04,-0.108,-0.1018,-0.09489,-0.08351,-0.07141,-0.05954,-0.04849,-0.04185,-0.03635
1.004,b1[13],0.0337,0.01718,3.17E-04,-2.75E-05,0.005568,0.01181,0.0221,0.03365,0.04522,0.05571,0.062,0.06744
1.017,b1[14],0.009353,0.0169,3.55E-04,-0.02375,-0.01848,-0.01217,-0.001886,0.009252,0.02052,0.03084,0.03721,0.04297
1.051,b1[15],-0.1007,0.02458,9.42E-04,-0.1478,-0.1407,-0.1318,-0.1175,-0.1011,-0.08451,-0.06942,-0.06022,-0.05161
1.007,b1[16],0.06055,0.01893,4.62E-04,0.02294,0.02912,0.03641,0.048,0.06056,0.07313,0.08462,0.09189,0.09791
1.014,b1[17],0.04587,0.01971,6.11E-04,0.006618,0.01299,0.02047,0.03266,0.04619,0.05928,0.07084,0.07785,0.08366
1.002,b1[18],0.03435,0.01713,3.56E-04,7.58E-04,0.006478,0.01255,0.02276,0.03439,0.04589,0.05611,0.06228,0.06802
1.005,b1[19],0.03015,0.01749,4.04E-04,-0.004036,0.001516,0.007892,0.01841,0.03008,0.04182,0.0524,0.05919,0.0649
1.01,b1[20],-0.008504,0.0174,3.83E-04,-0.0433,-0.0376,-0.03094,-0.02002,-0.008287,0.003382,0.01349,0.01968,0.02499
1.001,b1[21],-0.00886,0.01626,2.56E-04,-0.04103,-0.03571,-0.02968,-0.01957,-0.008779,0.001992,0.01176,0.01774,0.02295
1.001,b1[22],0.02168,0.01692,3.30E-04,-0.01225,-0.00631,2.62E-04,0.01046,0.02166,0.03297,0.04319,0.04939,0.05466
1.012,b1[23],0.01646,0.01713,3.62E-04,-0.01695,-0.0116,-0.005241,0.004922,0.0164,0.02798,0.03832,0.04477,0.05052
1.014,b1[24],0.02744,0.0174,3.91E-04,-0.006653,-8.70E-04,0.005584,0.01572,0.02731,0.03916,0.04986,0.05602,0.06123
1.002,b1[25],-0.008977,0.0176,3.99E-04,-0.04354,-0.03795,-0.03149,-0.02071,-0.008822,0.002673,0.01328,0.0199,0.02559
1,b1[26],-0.0823,0.01689,3.04E-04,-0.1159,-0.1104,-0.1041,-0.09348,-0.08216,-0.07094,-0.06062,-0.05471,-0.04951
1.007,b1[27],-0.01112,0.01738,3.91E-04,-0.04495,-0.03939,-0.03311,-0.02278,-0.01147,4.45E-04,0.01124,0.01781,0.02331
1.006,b1[28],0.03262,0.01806,3.69E-04,-0.003175,0.002596,0.009417,0.02047,0.03288,0.04479,0.05573,0.06211,0.06745
1.003,b1[29],0.02579,0.01655,2.83E-04,-0.007082,-0.001562,0.004549,0.01482,0.02601,0.03689,0.04659,0.05278,0.05816
1.062,b1[30],0.1644,0.02574,0.00102,0.1158,0.1231,0.1318,0.1468,0.1638,0.1813,0.1975,0.2077,0.2169
1.022,b1[31],-0.002741,0.01686,3.54E-04,-0.03626,-0.03073,-0.02424,-0.01391,-0.002608,0.008632,0.01867,0.02495,0.02998
0.9994,beta1,1.06E-06,1.16E-06,5.96E-08,-1.45E-06,-9.82E-07,-4.09E-07,3.64E-07,1.08E-06,1.83E-06,2.58E-06,2.92E-06,3.17E-06
1.03,beta2,-0.03183,0.007902,3.18E-04,-0.04709,-0.04453,-0.04162,-0.0373,-0.03207,-0.02642,-0.02139,-0.01868,-0.01645
1.094,beta3,0.004989,0.008027,4.28E-04,-0.007851,-0.006337,-0.003977,-2.47E-04,0.003569,0.008774,0.01726,0.02169,0.02417
1.012,beta4,-9.65E-05,2.30E-04,1.18E-05,-5.75E-04,-4.68E-04,-3.86E-04,-2.54E-04,-9.90E-05,6.35E-05,2.13E-04,2.89E-04,3.46E-04
0.9998,beta5,0.001789,0.002036,3.10E-05,-0.002208,-0.001541,-8.11E-04,4.24E-04,0.001794,0.003148,0.004399,0.00514,0.005783
1.005,beta6,0.003866,6.29E-04,2.40E-05,0.002699,0.002858,0.003058,0.003421,0.003856,0.004287,0.004682,0.004922,0.005132
1.001,beta7,-0.002242,0.01669,7.74E-04,-0.03696,-0.0302,-0.02368,-0.01309,-0.001645,0.00917,0.01806,0.02387,0.02968
1.015,beta8,-8.45E-06,3.09E-06,1.58E-07,-1.45E-05,-1.35E-05,-1.24E-05,-1.06E-05,-8.46E-06,-6.21E-06,-4.35E-06,-3.44E-06,-2.76E-06
1.002,r[1],1.208,0.3455,0.006685,0.7378,0.8072,0.8833,0.9906,1.118,1.361,1.656,1.868,2.079
0.9936,r[2],1.405,0.517,0.01673,0.8368,0.8936,0.9523,1.022,1.232,1.642,2.14,2.459,2.741
0.9993,r[3],1.119,0.2427,0.0043,0.7597,0.8168,0.8826,0.9754,1.056,1.225,1.437,1.594,1.737
1,r[4],1.423,0.4945,0.01501,0.8597,0.9127,0.9674,1.038,1.276,1.683,2.131,2.393,2.646
0.9987,r[5],1.25,0.3466,0.008329,0.8036,0.8638,0.9288,1.004,1.154,1.42,1.716,1.923,2.122
1.001,r[6],0.8336,0.259,0.007616,0.3599,0.4143,0.4885,0.6418,0.8504,1.002,1.125,1.234,1.357
0.9991,r[7],1.349,0.4614,0.01519,0.8396,0.8943,0.9504,1.015,1.195,1.547,2.008,2.319,2.582
0.9967,r[8],1.372,0.4629,0.01634,0.9033,0.944,0.981,1.03,1.215,1.567,2.016,2.351,2.629
0.9992,r[9],1.147,0.2256,0.005847,0.8509,0.896,0.9421,0.9986,1.079,1.252,1.46,1.599,1.725
1,r[10],1.294,0.354,0.01142,0.9083,0.9452,0.9808,1.026,1.181,1.457,1.794,2.02,2.219
1.001,r[11],0.7577,0.2308,0.008102,0.3155,0.3585,0.4241,0.5757,0.7827,0.9608,1.019,1.062,1.113
0.9939,r[12],1.08,0.245,0.005741,0.7381,0.7914,0.8524,0.9463,1.016,1.153,1.389,1.58,1.761
1.001,r[13],1.176,0.2954,0.006562,0.7664,0.8294,0.8979,0.9904,1.095,1.309,1.566,1.751,1.936
0.9994,r[14],0.9503,0.1612,0.002611,0.6348,0.6814,0.7396,0.849,0.9659,1.034,1.134,1.211,1.289
1.002,r[15],0.8895,0.2588,0.006969,0.4162,0.4784,0.5558,0.7118,0.9028,1.028,1.182,1.31,1.451
0.9992,r[16],0.887,0.2439,0.005188,0.3746,0.4425,0.5403,0.7334,0.9295,1.027,1.151,1.25,1.344
0.9961,r[17],0.7556,0.2241,0.008068,0.3535,0.3926,0.4456,0.5711,0.7654,0.9529,1.017,1.064,1.122
1.001,r[18],0.8381,0.1709,0.004823,0.5029,0.5468,0.6027,0.7097,0.8526,0.9792,1.026,1.072,1.124
1.001,r[19],0.9539,0.1612,0.002306,0.6376,0.6873,0.7482,0.8568,0.9665,1.032,1.134,1.217,1.303
0.9985,r[20],0.7916,0.1967,0.006568,0.4272,0.4693,0.5235,0.6353,0.7999,0.9618,1.02,1.068,1.121
1,r[21],0.8049,0.1947,0.006094,0.4168,0.4589,0.5228,0.6585,0.8291,0.9706,1.02,1.062,1.11
0.9986,r[22],1.008,0.1752,0.002301,0.6928,0.7455,0.8082,0.9092,0.9968,1.082,1.22,1.324,1.426
0.9911,r[23],1.125,0.2736,0.00713,0.732,0.7928,0.8633,0.9662,1.051,1.237,1.484,1.663,1.839
1.001,r[24],1.063,0.2134,0.004085,0.7142,0.7732,0.8397,0.9428,1.02,1.156,1.336,1.466,1.593
